colour	x	y	key	showSelectedlegendcolour	showSelected1
#F8766D	0.00256410256410256	0.862694300518135	initial	initial	ATAC_JV_adipose/1
#00BFC4	0.0102564102564103	0.795336787564767	optimized	optimized	ATAC_JV_adipose/1
#F8766D	0	0.890532544378698	initial	initial	ATAC_JV_adipose/2
#00BFC4	0.0340760157273919	0.872781065088758	optimized	optimized	ATAC_JV_adipose/2
#F8766D	0.00714285714285714	0.791457286432161	initial	initial	ATAC_JV_adipose/3
#00BFC4	0.0119047619047619	0.703517587939699	optimized	optimized	ATAC_JV_adipose/3
#F8766D	0.0116550116550117	0.657458563535912	initial	initial	ATAC_JV_adipose/4
#00BFC4	0.0326340326340326	0.604972375690608	optimized	optimized	ATAC_JV_adipose/4
#F8766D	0	0.886792452830189	initial	initial	CTCF_TDH_ENCODE/2
#00BFC4	0.00591715976331361	0.886792452830189	optimized	optimized	CTCF_TDH_ENCODE/2
#F8766D	0.0394736842105263	0.853932584269663	initial	initial	H3K27ac_TDH_some/1
#00BFC4	0.0197368421052632	0.764044943820225	optimized	optimized	H3K27ac_TDH_some/1
#F8766D	0.0210526315789474	0.714285714285714	initial	initial	H3K27ac_TDH_some/3
#00BFC4	0.0263157894736842	0.660714285714286	optimized	optimized	H3K27ac_TDH_some/3
#F8766D	0	0.75	initial	initial	H3K27ac_TDH_some/4
#00BFC4	0.0116959064327485	0.6875	optimized	optimized	H3K27ac_TDH_some/4
#F8766D	0.0108093857105194	0.930428134556575	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/1
#00BFC4	0.0158186132349064	0.876146788990826	optimized	optimized	H3K27ac-H3K4me3_TDHAM_BP/1
#F8766D	0.011094674556213	0.907446808510638	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/2
#00BFC4	0.0162721893491124	0.884042553191489	optimized	optimized	H3K27ac-H3K4me3_TDHAM_BP/2
#F8766D	0.000490196078431373	0.976987447698745	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/3
#00BFC4	0.00367647058823529	0.971757322175732	optimized	optimized	H3K27ac-H3K4me3_TDHAM_BP/3
#F8766D	0.00198412698412698	0.836	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/4
#00BFC4	0.00694444444444444	0.817333333333333	optimized	optimized	H3K27ac-H3K4me3_TDHAM_BP/4
#F8766D	0.0150375939849624	0.853658536585366	initial	initial	H3K27me3_RL_cancer/1
#00BFC4	0.037593984962406	0.792682926829268	optimized	optimized	H3K27me3_RL_cancer/1
#F8766D	0.0150375939849624	0.87037037037037	initial	initial	H3K27me3_RL_cancer/2
#00BFC4	0.0676691729323308	0.87037037037037	optimized	optimized	H3K27me3_RL_cancer/2
#F8766D	0.0986842105263158	0.861538461538462	initial	initial	H3K27me3_RL_cancer/4
#00BFC4	0.184210526315789	0.923076923076923	optimized	optimized	H3K27me3_RL_cancer/4
#F8766D	0.0178571428571429	0.892307692307692	initial	initial	H3K27me3_TDH_some/1
#00BFC4	0.0238095238095238	0.815384615384615	optimized	optimized	H3K27me3_TDH_some/1
#F8766D	0.0342857142857143	1	initial	initial	H3K27me3_TDH_some/3
#00BFC4	0.0571428571428571	1	optimized	optimized	H3K27me3_TDH_some/3
#F8766D	0.0151515151515152	0.871794871794872	initial	initial	H3K27me3_TDH_some/4
#00BFC4	0.0353535353535354	0.858974358974359	optimized	optimized	H3K27me3_TDH_some/4
#F8766D	0.0455764075067024	1	initial	initial	H3K36me3_AM_immune/3
#00BFC4	0.0509383378016086	1	optimized	optimized	H3K36me3_AM_immune/3
#F8766D	0	0.944444444444444	initial	initial	H3K36me3_TDH_other/3
#00BFC4	0.0357142857142857	1	optimized	optimized	H3K36me3_TDH_other/3
#F8766D	0.00297619047619048	0.974358974358974	initial	initial	H3K4me1_TDH_BP/1
#00BFC4	0.0119047619047619	1	optimized	optimized	H3K4me1_TDH_BP/1
#F8766D	0.0115740740740741	0.7421875	initial	initial	H3K4me1_TDH_BP/2
#00BFC4	0.0185185185185185	0.6328125	optimized	optimized	H3K4me1_TDH_BP/2
#F8766D	0	0.830508474576271	initial	initial	H3K4me1_TDH_BP/4
#00BFC4	0	0.830508474576271	optimized	optimized	H3K4me1_TDH_BP/4
#F8766D	0.0677731673582296	0.819301848049281	initial	initial	H3K4me3_PGP_immune/1
#00BFC4	0.0774550484094053	0.704312114989733	optimized	optimized	H3K4me3_PGP_immune/1
#F8766D	0.0301783264746228	0.738888888888889	initial	initial	H3K4me3_PGP_immune/2
#00BFC4	0.0534979423868313	0.696296296296296	optimized	optimized	H3K4me3_PGP_immune/2
#F8766D	0.0225988700564972	0.857142857142857	initial	initial	H3K4me3_PGP_immune/3
#00BFC4	0.0598870056497175	0.800324675324675	optimized	optimized	H3K4me3_PGP_immune/3
#F8766D	0.0149068322981366	0.785123966942149	initial	initial	H3K4me3_PGP_immune/4
#00BFC4	0.0422360248447205	0.710743801652893	optimized	optimized	H3K4me3_PGP_immune/4
#F8766D	0.055921052631579	0.928721174004193	initial	initial	H3K4me3_TDH_immune/1
#00BFC4	0.112938596491228	0.930817610062893	optimized	optimized	H3K4me3_TDH_immune/1
#F8766D	0.0284738041002278	0.846743295019157	initial	initial	H3K4me3_TDH_immune/2
#00BFC4	0.030751708428246	0.78544061302682	optimized	optimized	H3K4me3_TDH_immune/2
#F8766D	0.0565110565110565	0.904761904761905	initial	initial	H3K4me3_TDH_immune/3
#00BFC4	0.113022113022113	0.889455782312925	optimized	optimized	H3K4me3_TDH_immune/3
#F8766D	0.0338427947598253	0.915113871635611	initial	initial	H3K4me3_TDH_immune/4
#00BFC4	0.0360262008733625	0.784679089026915	optimized	optimized	H3K4me3_TDH_immune/4
#F8766D	0.0277777777777778	0.98019801980198	initial	initial	H3K4me3_TDH_other/1
#00BFC4	0.0476190476190476	0.99009900990099	optimized	optimized	H3K4me3_TDH_other/1
#F8766D	0.00833333333333333	0.952380952380952	initial	initial	H3K4me3_TDH_other/4
#00BFC4	0.0333333333333333	0.957142857142857	optimized	optimized	H3K4me3_TDH_other/4
#F8766D	0.0416666666666667	0.91358024691358	initial	initial	H3K4me3_XJ_immune/1
#00BFC4	0.0648148148148148	0.858024691358025	optimized	optimized	H3K4me3_XJ_immune/1
#F8766D	0.0462962962962963	0.756613756613757	initial	initial	H3K4me3_XJ_immune/2
#00BFC4	0.0771604938271605	0.666666666666667	optimized	optimized	H3K4me3_XJ_immune/2
#F8766D	0.037037037037037	0.975308641975309	initial	initial	H3K4me3_XJ_immune/3
#00BFC4	0.0471380471380471	0.697530864197531	optimized	optimized	H3K4me3_XJ_immune/3
#F8766D	0.0606060606060606	0.882716049382716	initial	initial	H3K4me3_XJ_immune/4
#00BFC4	0.0976430976430976	0.666666666666667	optimized	optimized	H3K4me3_XJ_immune/4
#F8766D	0.0928571428571429	0.9875	initial	initial	H3K9me3_TDH_BP/2
#00BFC4	0.185714285714286	0.975	optimized	optimized	H3K9me3_TDH_BP/2
