x	y	key	clickSelects
2.31881542270632	2.20905227291345	ATAC_JV_adipose/1	ATAC_JV_adipose/1
2.22299319723112	2.06743662786789	ATAC_JV_adipose/2	ATAC_JV_adipose/2
2.41261447200792	2.32291513720438	ATAC_JV_adipose/3	ATAC_JV_adipose/3
2.51971189958419	2.45262109819688	ATAC_JV_adipose/4	ATAC_JV_adipose/4
1.55790193900848	1.52859369836713	CTCF_TDH_ENCODE/2	CTCF_TDH_ENCODE/2
2.84401264547731	2.65852562792027	H3K27ac-H3K4me3_TDHAM_BP/1	H3K27ac-H3K4me3_TDHAM_BP/1
2.94519324313894	2.91549777788968	H3K27ac-H3K4me3_TDHAM_BP/2	H3K27ac-H3K4me3_TDHAM_BP/2
2.07770944812899	2.01302035394008	H3K27ac-H3K4me3_TDHAM_BP/3	H3K27ac-H3K4me3_TDHAM_BP/3
2.83422610850808	2.80265737653775	H3K27ac-H3K4me3_TDHAM_BP/4	H3K27ac-H3K4me3_TDHAM_BP/4
1.82180589379127	1.7757461738513	H3K27ac_TDH_some/1	H3K27ac_TDH_some/1
2.0704667923934	1.99483781152996	H3K27ac_TDH_some/3	H3K27ac_TDH_some/3
1.58344731435198	1.50584627159456	H3K27ac_TDH_some/4	H3K27ac_TDH_some/4
1.76033707592389	1.61268216747605	H3K27me3_RL_cancer/1	H3K27me3_RL_cancer/1
1.28499653098884	0.956469140235582	H3K27me3_RL_cancer/2	H3K27me3_RL_cancer/2
2.03736797129069	1.90660761343227	H3K27me3_RL_cancer/4	H3K27me3_RL_cancer/4
1.55644833072065	1.37530761888042	H3K27me3_TDH_some/1	H3K27me3_TDH_some/1
1.30065208517386	1.18390632520186	H3K27me3_TDH_some/3	H3K27me3_TDH_some/3
1.35275714071415	1.21792672634152	H3K27me3_TDH_some/4	H3K27me3_TDH_some/4
2.12272134134786	2.09348959176623	H3K36me3_AM_immune/3	H3K36me3_AM_immune/3
1.18629447886932	1.11136881620064	H3K36me3_TDH_other/3	H3K36me3_TDH_other/3
1.86483128688243	1.85585987294514	H3K4me1_TDH_BP/1	H3K4me1_TDH_BP/1
1.85175177824541	1.68051856988806	H3K4me1_TDH_BP/2	H3K4me1_TDH_BP/2
1.44339775846009	1.20566213714859	H3K4me1_TDH_BP/4	H3K4me1_TDH_BP/4
2.63449959269102	2.56860014392937	H3K4me3_PGP_immune/1	H3K4me3_PGP_immune/1
2.40853907073462	2.33876758475926	H3K4me3_PGP_immune/2	H3K4me3_PGP_immune/2
2.56335660902358	2.48986736540491	H3K4me3_PGP_immune/3	H3K4me3_PGP_immune/3
2.64993692588264	2.50815944829206	H3K4me3_PGP_immune/4	H3K4me3_PGP_immune/4
2.45470720177201	2.35220493690774	H3K4me3_TDH_immune/1	H3K4me3_TDH_immune/1
2.41102178836553	2.36234235014196	H3K4me3_TDH_immune/2	H3K4me3_TDH_immune/2
2.25324697395359	2.11665965486729	H3K4me3_TDH_immune/3	H3K4me3_TDH_immune/3
2.32043296983135	2.20506703682545	H3K4me3_TDH_immune/4	H3K4me3_TDH_immune/4
1.28961186873672	1.03676157054893	H3K4me3_TDH_other/1	H3K4me3_TDH_other/1
1.31864482313288	1.20465928875669	H3K4me3_TDH_other/4	H3K4me3_TDH_other/4
1.89319659515341	1.78865707997003	H3K4me3_XJ_immune/1	H3K4me3_XJ_immune/1
2.31774115200875	2.24986547222213	H3K4me3_XJ_immune/2	H3K4me3_XJ_immune/2
2.06356237846369	1.89749128169263	H3K4me3_XJ_immune/3	H3K4me3_XJ_immune/3
2.27871765378332	1.87356821210158	H3K4me3_XJ_immune/4	H3K4me3_XJ_immune/4
1.9716410291275	1.91396939842386	H3K9me3_TDH_BP/2	H3K9me3_TDH_BP/2
